idPNMain,PNG,Name,RAJ2000,DECJ2000,MajDiam,MinDiam
2375,016.6+03.1,"PHR J1809-1300",18:09:36.2,-12:59:57.98,16.0,13.0
2377,016.7-01.8,"MPA J1828-1516",18:28:02.6,-15:16:21.61,20.0,20.0
2378,016.8+07.0,"PHR J1756-1057",17:56:21.4,-10:57:35.82,35.5,33.5
2380,017.2+00.1,"PHR J1821-1353",18:21:43.9,-13:53:12.95,20.0,6.0
2382,017.5-09.2,"SB 24",18:57:16.53,-17:50:49.0,15.3,8.5
2385,018.0-02.2,"PHR J1831-1415",18:31:50.4,-14:15:20.70,54.0,42.0
2386,018.1+01.5,"MPA J1818-1224",18:18:26.9,-12:24:15.26,16.0,11.0
2387,018.2-00.9,"MPA J1827-1328",18:27:29.7,-13:28:18.41,13.5,
2388,018.4+05.3,"PTB 24",18:05:28.2,-10:20:43.12,13.0,13.0
2389,018.5-01.6,"PHR J1830-1331",18:30:42.4,-13:31:09.12,20.0,17.0
2390,018.8-01.9,"PTB 25",18:32:04.55,-13:26:15.2,42.0,36.0
2392,019.1+00.8,"MPA J1822-1153",18:22:53.7,-11:53:09.35,11.0,11.0
2393,019.2-01.6,"MPA J1831-1256",18:31:53.0,-12:56:13.81,11.0,11.0
2394,019.5-04.9,"PHR J1844-1410",18:44:43.7,-14:10:52.07,55.0,45.0
2395,019.6+00.7,"MPA J1824-1126",18:24:04.0,-11:26:15.18,13.0,13.0
2397,019.8+01.9,"PHR J1820-1042",18:20:15.6,-10:42:48.31,25.0,24.0
2398,019.9-02.8,"PHR J1837-1249",18:37:50.2,-12:49:39.86,24.0,21.0
2401,020.4+02.2,"PHR J1820-1002",18:20:15.4,-10:02:29.04,24.0,18.5
2406,021.0-04.1,"PHR J1844-1226",18:44:07.62,-12:26:50.1,15.0,14.0
2408,021.0-04.3,"PHR J1845-1231",18:45:16.1,-12:31:39.72,17.0,16.0
2409,021.1+03.1,"PHR J1818-0902",18:18:26.8,-09:02:23.93,16.0,14.0
2411,021.2+00.9,"PHR J1826-0953",18:26:26.1,-09:53:26.12,47.6,
2413,022.0+01.3,"PHR J1826-0859",18:26:28.3,-08:59:19.97,51.0,38.0
2415,022.8-01.9,"MPA J1839-0953",18:39:44.7,-09:53:15.40,11.0,8.0
2417,023.4+00.7,"PHR J1831-0805",18:31:19.6,-08:05:42.86,12.5,9.0
2418,023.5-00.1,"PHR J1834-0824",18:34:41.6,-08:24:20.09,31.0,26.0
